380^781	114.08172	30.65783	-7.17	9
381^690	114.08276	30.57593	-10.81	21
381^702	114.08276	30.58673	-10.89	14
381^717	114.08276	30.60023	-7.55	61
381^744	114.08276	30.62453	-10.19	34
381^759	114.08276	30.63803	-4.64	294
381^771	114.08276	30.64883	-11.47	38
382^695	114.08380	30.58043	-10.24	40
382^707	114.08380	30.59123	-4.12	72
382^734	114.08380	30.61553	-7.26	193
382^749	114.08380	30.62903	-6.82	38
382^761	114.08380	30.63983	-5.80	687
382^776	114.08380	30.65333	-10.22	18
383^724	114.08484	30.60653	-6.57	228
383^739	114.08484	30.62003	-6.93	119
383^751	114.08484	30.63083	-9.68	14
383^766	114.08484	30.64433	-8.79	54
384^714	114.08588	30.59753	-4.21	107
384^729	114.08588	30.61103	-7.04	818
384^741	114.08588	30.62183	-6.31	99
384^756	114.08588	30.63533	-4.70	180
384^783	114.08588	30.65963	-10.00	15
385^692	114.08692	30.57773	-9.84	80
385^704	114.08692	30.58853	-12.03	31
385^719	114.08692	30.60203	-4.37	168
385^731	114.08692	30.61283	-7.92	826
385^746	114.08692	30.62633	-7.22	50
385^773	114.08692	30.65063	-13.07	47
386^697	114.08796	30.58223	-11.00	31
386^709	114.08796	30.59303	-9.29	19
386^721	114.08796	30.60383	-6.02	155
386^736	114.08796	30.61733	-9.14	112
386^763	114.08796	30.64163	-7.35	572
386^778	114.08796	30.65513	-12.81	18
387^711	114.08900	30.59483	-10.46	34
387^726	114.08900	30.60833	-8.56	876
387^753	114.08900	30.63263	-6.02	135
387^768	114.08900	30.64613	-9.40	50
387^780	114.08900	30.65693	-14.26	17
388^701	114.09004	30.58583	-10.58	67
388^716	114.09004	30.59933	-10.21	24
388^743	114.09004	30.62363	-8.39	188
388^758	114.09004	30.63713	-5.33	185
388^770	114.09004	30.64793	-11.86	14
388^785	114.09004	30.66143	-10.43	14
389^694	114.09108	30.57953	-10.71	36
389^706	114.09108	30.59033	-9.14	48
389^733	114.09108	30.61463	-6.37	1749
389^748	114.09108	30.62813	-7.35	66
389^760	114.09108	30.63893	-6.49	643
389^775	114.09108	30.65243	-8.21	34
390^696	114.09212	30.58133	-8.99	70
390^708	114.09212	30.59213	-10.26	61
390^720	114.09212	30.60293	-9.53	70
390^735	114.09212	30.61643	-10.50	210
390^762	114.09212	30.64073	-7.44	391
390^777	114.09212	30.65423	-10.25	12
391^710	114.09316	30.59393	-10.13	35
391^725	114.09316	30.60743	-10.24	287
391^752	114.09316	30.63173	-9.16	47
391^767	114.09316	30.64523	-7.46	59
392^700	114.09420	30.58493	-7.54	350
392^715	114.09420	30.59843	-9.17	36
392^742	114.09420	30.62273	-6.28	3469
392^757	114.09420	30.63623	-5.42	564
392^784	114.09420	30.66053	-11.55	43
393^693	114.09524	30.57863	-9.98	48
393^705	114.09524	30.58943	-9.17	186
393^732	114.09524	30.61373	-7.79	1239
393^747	114.09524	30.62723	-10.05	380
393^774	114.09524	30.65153	-7.19	8
394^698	114.09628	30.58313	-7.21	247
394^722	114.09628	30.60473	-6.87	225
394^737	114.09628	30.61823	-8.91	610
394^764	114.09628	30.64253	-7.94	34
394^779	114.09628	30.65603	-11.20	5
395^712	114.09732	30.59573	-10.43	29
395^727	114.09732	30.60923	-8.27	533
395^754	114.09732	30.63353	-5.80	622
395^769	114.09732	30.64703	-9.42	12
395^781	114.09732	30.65783	-10.33	3
396^690	114.09836	30.57593	-8.51	76
396^702	114.09836	30.58673	-5.51	712
396^717	114.09836	30.60023	-9.71	39
396^744	114.09836	30.62453	-5.71	19589
396^759	114.09836	30.63803	-9.15	124
396^771	114.09836	30.64883	-12.31	8
397^695	114.09940	30.58043	-11.09	56
397^707	114.09940	30.59123	-9.69	95
397^734	114.09940	30.61553	-6.47	1688
397^749	114.09940	30.62903	-6.34	605
397^761	114.09940	30.63983	-9.76	36
397^776	114.09940	30.65333	-4.71	21
398^724	114.10044	30.60653	-4.38	4586
398^739	114.10044	30.62003	-6.89	2610
398^751	114.10044	30.63083	-6.54	711
398^766	114.10044	30.64433	-10.11	22
399^714	114.10148	30.59753	-8.35	71
399^729	114.10148	30.61103	-6.00	1240
399^741	114.10148	30.62183	-6.53	3765
399^756	114.10148	30.63533	-8.45	142
399^783	114.10148	30.65963	-11.00	4
400^689	114.10252	30.57503	-10.12	38
400^713	114.10252	30.59663	-7.73	73
400^728	114.10252	30.61013	-5.96	1134
400^740	114.10252	30.62093	-8.09	1500
400^755	114.10252	30.63443	-8.78	116
400^782	114.10252	30.65873	-10.83	3
401^691	114.10356	30.57683	-8.17	39
401^703	114.10356	30.58763	-9.90	87
